code,Profession,DWA ID,Detailed Work Activity
13-2011.00,Accountants and Auditors,4.A.2.a.2.I01.D01,Verify accuracy of records.
13-2011.00,Accountants and Auditors,4.A.2.a.4.I11.D04,Analyze business or financial data.
13-2011.00,Accountants and Auditors,4.A.4.a.2.I03.D10,Report information to managers or other personnel.
13-2011.00,Accountants and Auditors,4.A.2.b.4.I03.D04,Develop business or financial information systems.
13-2011.00,Accountants and Auditors,4.A.2.a.1.I09.D02,Assess financial status of clients.
13-2011.00,Accountants and Auditors,4.A.2.a.1.I02.D04,Evaluate effectiveness of personnel policies or practices.
13-2011.00,Accountants and Auditors,4.A.2.a.3.I03.D02,Examine financial records.
13-2011.00,Accountants and Auditors,4.A.2.a.2.I01.D05,Verify accuracy of financial information.
13-2011.00,Accountants and Auditors,4.A.1.b.3.I03.D03,Calculate tax information.
13-2011.00,Accountants and Auditors,4.A.3.b.6.I01.D02,"Prepare financial documents, reports, or budgets."
13-2011.00,Accountants and Auditors,4.A.4.b.6.I05.D08,Advise others on human resources topics.
13-2011.00,Accountants and Auditors,4.A.4.a.3.I01.D02,Represent the interests of clients in legal proceedings.
13-2011.00,Accountants and Auditors,4.A.4.b.4.I14.D01,Coordinate regulatory documentation activities.
13-2011.00,Accountants and Auditors,4.A.2.a.3.I03.D03,Examine financial records or processes.
13-2011.00,Accountants and Auditors,4.A.2.a.4.I11.D01,Analyze budgetary or accounting data.
13-2011.00,Accountants and Auditors,4.A.4.b.4.I09.D04,Prepare operational budgets.
13-2011.00,Accountants and Auditors,4.A.2.a.2.I01.D05,Verify accuracy of financial information.
13-2011.00,Accountants and Auditors,4.A.3.b.6.I01.D02,"Prepare financial documents, reports, or budgets."
13-2011.00,Accountants and Auditors,4.A.4.c.1.I03.D07,"Pay charges, fees, or taxes."
13-2011.00,Accountants and Auditors,4.A.2.a.3.I03.D02,Examine financial records.
27-2011.00,Actors,4.A.1.a.1.I01.D04,Study scripts to determine project requirements.
27-2011.00,Actors,4.A.3.a.1.I16.D03,Practice athletic or artistic skills.
27-2011.00,Actors,4.A.4.a.8.I01.D04,Collaborate with others to prepare or perform artistic productions.
27-2011.00,Actors,4.A.1.a.1.I01.D04,Study scripts to determine project requirements.
27-2011.00,Actors,4.A.4.a.8.I01.D04,Collaborate with others to prepare or perform artistic productions.
27-2011.00,Actors,4.A.4.a.8.I01.D05,Entertain public with comedic or dramatic performances.
27-2011.00,Actors,4.A.4.a.8.I01.D01,Audition for roles.
27-2011.00,Actors,4.A.4.a.8.I01.D05,Entertain public with comedic or dramatic performances.
27-2011.00,Actors,4.A.4.a.2.I09.D05,Collaborate with others to determine technical details of productions.
27-2011.00,Actors,4.A.4.a.8.I01.D03,Perform music for the public.
27-2011.00,Actors,4.A.4.a.8.I01.D05,Entertain public with comedic or dramatic performances.
27-2011.00,Actors,4.A.4.a.8.I01.D05,Entertain public with comedic or dramatic performances.
27-2011.00,Actors,4.A.4.a.6.I03.D10,"Promote products, activities, or organizations."
27-2011.00,Actors,4.A.3.b.6.I16.D02,Write material for artistic or entertainment purposes.
27-2011.00,Actors,4.A.4.a.8.I01.D05,Entertain public with comedic or dramatic performances.
27-2011.00,Actors,4.A.4.a.8.I01.D05,Entertain public with comedic or dramatic performances.
27-2011.00,Actors,4.A.4.a.3.I02.D10,"Inform viewers, listeners, or audiences."
27-2011.00,Actors,4.A.4.a.8.I01.D05,Entertain public with comedic or dramatic performances.
27-2011.00,Actors,4.A.4.a.8.I01.D05,Entertain public with comedic or dramatic performances.
27-2011.00,Actors,4.A.4.a.8.I01.D05,Entertain public with comedic or dramatic performances.
27-2011.00,Actors,4.A.3.a.2.I28.D02,"Construct distinctive physical objects for artistic, functional, or commercial purposes."
15-2011.00,Actuaries,4.A.4.a.7.I02.D10,Negotiate contracts with clients or service providers.
15-2011.00,Actuaries,4.A.4.b.4.I09.D06,Manage financial activities of the organization.
15-2011.00,Actuaries,4.A.2.a.4.I06.D01,Analyze health-related data.
15-2011.00,Actuaries,4.A.4.b.4.I09.D06,Manage financial activities of the organization.
15-2011.00,Actuaries,4.A.4.a.2.I06.D02,Collaborate with others to develop or implement marketing strategies.
15-2011.00,Actuaries,4.A.2.b.2.I27.D02,Develop organizational goals or objectives.
15-2011.00,Actuaries,4.A.2.a.4.I04.D02,Analyze data to identify trends or relationships among variables.
15-2011.00,Actuaries,4.A.4.b.4.I09.D06,Manage financial activities of the organization.
15-2011.00,Actuaries,4.A.4.b.4.I09.D06,Manage financial activities of the organization.
15-2011.00,Actuaries,4.A.4.b.4.I09.D06,Manage financial activities of the organization.
15-2011.00,Actuaries,4.A.4.b.4.I09.D06,Manage financial activities of the organization.
15-2011.00,Actuaries,4.A.4.a.3.I03.D05,Provide customer service to clients or users.
29-1291.00,Acupuncturists,4.A.3.a.1.I01.D07,Prepare medications or medical solutions.
29-1291.00,Acupuncturists,4.A.2.a.3.I04.D02,Follow protocols or regulations for healthcare activities.
29-1291.00,Acupuncturists,4.A.3.b.6.I11.D04,Record patient medical histories.
29-1291.00,Acupuncturists,4.A.4.b.6.I01.D04,Advise patients on effects of health conditions or treatments.
29-1291.00,Acupuncturists,4.A.2.a.1.I06.D04,Evaluate treatment options to guide medical decisions.
29-1291.00,Acupuncturists,4.A.2.a.3.I04.D02,Follow protocols or regulations for healthcare activities.
29-1291.00,Acupuncturists,4.A.4.a.5.I12.D08,Treat patients using alternative medical procedures.
29-1291.00,Acupuncturists,4.A.4.b.3.I06.D05,"Train patients, family members, or caregivers in techniques for managing disabilities or illnesses."
29-1291.00,Acupuncturists,4.A.2.a.1.I06.D03,Evaluate patient outcomes to determine effectiveness of treatments.
29-1291.00,Acupuncturists,4.A.4.c.3.I06.D01,Prescribe treatments or therapies.
29-1291.00,Acupuncturists,4.A.1.b.2.I09.D03,Examine patients to assess general physical condition.
29-1291.00,Acupuncturists,4.A.1.a.1.I12.D02,"Collect medical information from patients, family members, or other medical professionals."
29-1291.00,Acupuncturists,4.A.4.a.5.I12.D08,Treat patients using alternative medical procedures.
29-1291.00,Acupuncturists,4.A.4.a.5.I02.D05,Treat patients using physical therapy techniques.
29-1291.00,Acupuncturists,4.A.2.a.4.I06.D03,Analyze test data or images to inform diagnosis or treatment.
29-1291.00,Acupuncturists,4.A.2.b.2.I01.D06,Develop treatment plans that use non-medical therapies.
29-1291.00,Acupuncturists,4.A.4.a.5.I12.D08,Treat patients using alternative medical procedures.
29-1291.00,Acupuncturists,4.A.4.a.5.I12.D08,Treat patients using alternative medical procedures.
29-1291.00,Acupuncturists,4.A.4.a.5.I12.D08,Treat patients using alternative medical procedures.
29-1141.01,Acute Care Nurses,4.A.2.a.1.I06.D04,Evaluate treatment options to guide medical decisions.
29-1141.01,Acute Care Nurses,4.A.2.b.1.I06.D02,Diagnose medical conditions.
29-1141.01,Acute Care Nurses,4.A.2.b.1.I06.D02,Diagnose medical conditions.
29-1141.01,Acute Care Nurses,4.A.1.a.2.I05.D03,Monitor patients following surgeries or other treatments.
29-1141.01,Acute Care Nurses,4.A.4.a.5.I03.D03,Administer anesthetics or sedatives to control pain.
29-1141.01,Acute Care Nurses,4.A.2.a.4.I06.D03,Analyze test data or images to inform diagnosis or treatment.
29-1141.01,Acute Care Nurses,4.A.4.a.5.I07.D03,Treat medical emergencies.
29-1141.01,Acute Care Nurses,4.A.2.a.4.I06.D02,Analyze patient data to determine patient needs or treatment goals.
29-1141.01,Acute Care Nurses,4.A.3.a.2.I24.D01,Adjust prostheses or other assistive devices.
29-1141.01,Acute Care Nurses,4.A.2.a.1.I06.D02,"Evaluate patient functioning, capabilities, or health."
29-1141.01,Acute Care Nurses,4.A.4.a.2.I05.D05,Collaborate with healthcare professionals to plan or provide treatment.
29-1141.01,Acute Care Nurses,4.A.4.a.1.I05.D01,Communicate detailed medical information to patients or family members.
29-1141.01,Acute Care Nurses,4.A.3.b.6.I11.D04,Record patient medical histories.
29-1141.01,Acute Care Nurses,4.A.4.a.5.I12.D02,"Treat acute illnesses, infections, or injuries."
29-1141.01,Acute Care Nurses,4.A.3.a.2.I11.D01,Prepare medical supplies or equipment for use.
29-1141.01,Acute Care Nurses,4.A.3.a.3.I04.D03,Operate diagnostic or therapeutic medical instruments or equipment.
29-1141.01,Acute Care Nurses,4.A.3.a.2.I38.D01,Collect biological specimens from patients.
29-1141.01,Acute Care Nurses,4.A.2.a.4.I06.D03,Analyze test data or images to inform diagnosis or treatment.
29-1141.01,Acute Care Nurses,4.A.4.c.3.I02.D01,Order medical diagnostic or clinical tests.
29-1141.01,Acute Care Nurses,4.A.4.a.2.I05.D05,Collaborate with healthcare professionals to plan or provide treatment.
29-1141.01,Acute Care Nurses,4.A.1.a.2.I05.D07,"Monitor patient conditions during treatments, procedures, or activities."
29-1141.01,Acute Care Nurses,4.A.4.c.3.I06.D03,Prescribe medications.
29-1141.01,Acute Care Nurses,4.A.4.a.5.I01.D02,Refer patients to other healthcare practitioners or health resources.
29-1141.01,Acute Care Nurses,4.A.1.a.2.I05.D07,"Monitor patient conditions during treatments, procedures, or activities."
29-1141.01,Acute Care Nurses,4.A.4.a.5.I03.D09,Administer blood or other fluids intravenously.
29-1141.01,Acute Care Nurses,4.A.4.b.6.I01.D05,Advise patients on healthcare system processes.
29-1141.01,Acute Care Nurses,4.A.2.a.1.I01.D02,"Assess patient work, living, or social environments."
29-1141.01,Acute Care Nurses,4.A.4.a.1.I05.D01,Communicate detailed medical information to patients or family members.
29-1141.01,Acute Care Nurses,4.A.2.b.3.I01.D12,Maintain medical or professional knowledge.
29-1141.01,Acute Care Nurses,4.A.2.b.4.I03.D02,Establish nursing policies or standards.
29-1141.01,Acute Care Nurses,4.A.4.c.1.I01.D03,Process healthcare paperwork.
29-1141.01,Acute Care Nurses,4.A.4.b.3.I06.D08,Train medical providers.
25-2059.01,Adapted Physical Education Specialists,4.A.1.a.2.I11.D10,Determine operational compliance with regulations or standards.
25-2059.01,Adapted Physical Education Specialists,4.A.2.a.1.I02.D05,Evaluate effectiveness of educational programs.
25-2059.01,Adapted Physical Education Specialists,4.A.4.c.3.I05.D02,Order instructional or library materials or equipment.
25-2059.01,Adapted Physical Education Specialists,4.A.3.b.6.I15.D02,Prepare reports detailing student activities or performance.
25-2059.01,Adapted Physical Education Specialists,4.A.2.b.3.I01.D18,Attend training sessions or professional meetings to develop or maintain professional knowledge.
25-2059.01,Adapted Physical Education Specialists,4.A.2.b.2.I15.D07,Develop strategies or programs for students with special needs.
25-2059.01,Adapted Physical Education Specialists,4.A.4.b.5.I02.D03,Encourage students.
25-2059.01,Adapted Physical Education Specialists,4.A.4.b.3.I06.D03,Teach physical education.
25-2059.01,Adapted Physical Education Specialists,4.A.3.b.6.I12.D01,Document lesson plans.
25-2059.01,Adapted Physical Education Specialists,4.A.3.b.6.I08.D12,Maintain student records.
25-2059.01,Adapted Physical Education Specialists,4.A.4.c.3.I01.D05,"Maintain inventories of materials, equipment, or products."
25-2059.01,Adapted Physical Education Specialists,4.A.2.a.1.I03.D01,Assess educational needs of students.
25-2059.01,Adapted Physical Education Specialists,4.A.2.b.2.I05.D03,Establish rules or policies governing student behavior.
25-2059.01,Adapted Physical Education Specialists,4.A.4.a.2.I03.D05,Discuss problems or issues with supervisors.
25-2059.01,Adapted Physical Education Specialists,4.A.4.b.6.I07.D08,Discuss student progress with parents or guardians.
25-2059.01,Adapted Physical Education Specialists,4.A.2.a.1.I03.D02,Administer tests to assess educational needs or progress.
25-2059.01,Adapted Physical Education Specialists,4.A.2.a.1.I03.D01,Assess educational needs of students.
25-2059.01,Adapted Physical Education Specialists,4.A.4.b.6.I07.D05,"Advise educators on curricula, instructional methods, or policies."
25-2059.01,Adapted Physical Education Specialists,4.A.3.b.6.I12.D04,Modify teaching methods or materials to accommodate student needs.
25-2059.01,Adapted Physical Education Specialists,4.A.4.a.5.I09.D05,Assist students with special educational needs.
25-2059.01,Adapted Physical Education Specialists,4.A.4.b.3.I06.D03,Teach physical education.
25-2059.01,Adapted Physical Education Specialists,4.A.4.a.2.I07.D01,Collaborate with other professionals to develop education or assistance programs.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.1.b.3.I01.D12,Measure dimensions of completed products or workpieces to verify conformance to specifications.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.1.a.2.I01.D07,Watch operating equipment to detect malfunctions.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.4.a.2.I08.D02,Notify others of equipment repair or maintenance needs.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.1.a.1.I02.D04,Read work orders or other instructions to determine product specifications or materials requirements.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.1.a.1.I02.D06,Study blueprints or other instructions to determine equipment setup requirements.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.4.a.2.I03.D20,Exchange information with colleagues.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.3.a.1.I06.D10,Load materials into production equipment.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.3.a.1.I06.D10,Load materials into production equipment.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.3.a.2.I06.D03,Mount materials or workpieces onto production equipment.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.3.b.6.I08.D03,Record operational or production data.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.3.a.2.I09.D03,Adjust equipment controls to regulate flow of production materials or products.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.3.a.2.I09.D07,Adjust temperature controls of ovens or other heating equipment.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.1.b.2.I12.D08,Conduct test runs of production equipment.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.3.b.4.I02.D09,Clear equipment jams.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.3.a.2.I41.D04,Align parts or workpieces to ensure proper assembly.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.1.a.2.I01.D11,Monitor instruments to ensure proper production conditions.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.3.a.1.I06.D08,Stack finished items for further processing or shipment.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.3.a.2.I40.D03,Remove products or workpieces from production equipment.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.3.a.1.I03.D21,Clean production equipment.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.3.b.4.I02.D02,Maintain production or processing equipment.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.3.a.1.I10.D11,"Move products, materials, or equipment between work areas."
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.3.a.3.I08.D01,Operate forklifts or other loaders.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.1.b.3.I01.D10,Measure ingredients or substances to be used in production processes.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,4.A.3.a.1.I01.D08,Mix substances to create chemical solutions.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.4.b.4.I16.D03,Coordinate legal schedules or activities.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.3.b.6.I02.D01,Prepare written decisions for legal proceedings.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.1.a.1.I05.D01,Evaluate information related to legal matters in public or personal records.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.1.a.1.I05.D02,Research relevant legal materials to aid decision making.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.1.a.1.I05.D01,Evaluate information related to legal matters in public or personal records.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.1.a.1.I05.D02,Research relevant legal materials to aid decision making.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.2.a.4.I08.D01,Identify implications for cases from legal precedents or other legal information.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.1.a.1.I23.D07,Interview claimants to get information related to legal proceedings.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.4.b.6.I08.D01,Provide legal advice to clients.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.4.b.6.I08.D01,Provide legal advice to clients.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.4.b.4.I16.D04,Direct courtroom activities or procedures.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.2.b.1.I03.D03,Authorize payments to settle legal disputes.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.2.b.1.I05.D01,Make decisions in legal cases.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.1.a.1.I03.D06,Conduct hearings to investigate legal issues.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.2.b.1.I05.D02,Rule on admissibility of legal proceedings.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.2.b.1.I05.D01,Make decisions in legal cases.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.3.b.6.I14.D09,Prepare legal documents.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.4.c.1.I02.D01,Administer oaths to court participants.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.A.1.a.1.I05.D02,Research relevant legal materials to aid decision making.
11-3012.00,Administrative Services Managers,4.A.4.b.4.I12.D17,Direct administrative or support services.
11-3012.00,Administrative Services Managers,4.A.2.b.2.I27.D02,Develop organizational goals or objectives.
11-3012.00,Administrative Services Managers,4.A.3.b.6.I15.D06,Prepare operational progress or status reports.
11-3012.00,Administrative Services Managers,4.A.4.a.2.I11.D02,"Communicate technical information to suppliers, contractors, or regulatory agencies."
11-3012.00,Administrative Services Managers,4.A.2.b.4.I03.D17,"Establish standards for products, processes, or procedures."
11-3012.00,Administrative Services Managers,4.A.2.b.4.I01.D01,Develop organizational policies or programs.
11-3012.00,Administrative Services Managers,4.A.4.b.4.I13.D04,Prepare employee work schedules.
11-3012.00,Administrative Services Managers,4.A.2.b.3.I01.D05,Maintain current knowledge related to work activities.
11-3012.00,Administrative Services Managers,4.A.2.b.1.I10.D11,Select resources needed to accomplish tasks.
11-3012.00,Administrative Services Managers,4.A.3.b.6.I08.D09,"Maintain records, documents, or other files."
11-3012.00,Administrative Services Managers,4.A.4.a.2.I03.D13,Confer with managers to make operational decisions.
11-3012.00,Administrative Services Managers,4.A.4.b.4.I07.D04,Manage human resources activities.
11-3012.00,Administrative Services Managers,4.A.1.a.1.I02.D07,Read documents to gather technical information.
11-3012.00,Administrative Services Managers,4.A.1.a.1.I05.D01,Evaluate information related to legal matters in public or personal records.
11-3012.00,Administrative Services Managers,4.A.4.a.8.I03.D01,Respond to customer problems or complaints.
11-3012.00,Administrative Services Managers,4.A.4.b.4.I01.D08,Supervise clerical or administrative personnel.
11-3012.00,Administrative Services Managers,4.A.2.a.4.I07.D12,Analyze data to inform operational decisions or activities.
11-3012.00,Administrative Services Managers,4.A.4.b.6.I05.D07,Recommend organizational process or policy changes.
11-3012.00,Administrative Services Managers,4.A.4.c.3.I01.D03,Manage inventories of products or organizational resources.
11-3012.00,Administrative Services Managers,4.A.4.c.3.I05.D03,"Purchase materials, equipment, or other resources."
11-3012.00,Administrative Services Managers,4.A.4.b.4.I09.D04,Prepare operational budgets.
11-3012.00,Administrative Services Managers,4.A.4.c.2.I01.D03,Hire personnel.
11-3012.00,Administrative Services Managers,4.A.4.b.3.I04.D16,Conduct employee training programs.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.3.b.6.I12.D04,Modify teaching methods or materials to accommodate student needs.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.1.a.2.I06.D03,Monitor student performance.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.a.1.I03.D04,Evaluate student work.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.b.2.I15.D06,Plan educational activities.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.4.b.3.I02.D06,Apply multiple teaching methods.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.3.b.6.I08.D12,Maintain student records.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.3.a.2.I32.D01,Set up classroom materials or equipment.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.b.2.I15.D03,Develop instructional objectives.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.4.b.5.I02.D03,Encourage students.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.b.2.I05.D03,Establish rules or policies governing student behavior.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.4.b.6.I07.D02,Advise students on academic or career matters.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.a.1.I03.D04,Evaluate student work.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.4.b.4.I13.D05,Assign class work to students.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.a.1.I03.D01,Assess educational needs of students.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.a.1.I03.D01,Assess educational needs of students.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.4.c.1.I01.D05,Perform student enrollment or registration activities.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.b.2.I15.D07,Develop strategies or programs for students with special needs.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.a.1.I03.D02,Administer tests to assess educational needs or progress.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.a.1.I03.D03,Prepare tests.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.a.1.I03.D04,Evaluate student work.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.3.b.6.I12.D03,Create technology-based learning materials.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.b.2.I15.D03,Develop instructional objectives.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.4.b.6.I07.D02,Advise students on academic or career matters.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.1.a.2.I06.D05,Enforce rules or policies governing student behavior.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.a.1.I02.D05,Evaluate effectiveness of educational programs.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.4.a.2.I07.D03,Collaborate with other teaching professionals to develop educational programs.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.4.a.2.I03.D05,Discuss problems or issues with supervisors.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.b.3.I01.D18,Attend training sessions or professional meetings to develop or maintain professional knowledge.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.b.2.I15.D06,Plan educational activities.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.3.b.6.I12.D01,Document lesson plans.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.3.b.6.I15.D02,Prepare reports detailing student activities or performance.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.b.1.I10.D10,Select educational materials or equipment.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.4.c.3.I03.D01,Distribute instructional or library materials.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.4.c.3.I05.D02,Order instructional or library materials or equipment.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.4.a.2.I07.D03,Collaborate with other teaching professionals to develop educational programs.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.4.a.6.I03.D06,Promote educational institutions or programs.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.4.b.4.I02.D01,Serve on institutional or departmental committees.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.b.2.I15.D04,Plan experiential learning activities.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.4.b.6.I07.D02,Advise students on academic or career matters.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.b.5.I02.D03,Schedule instructional activities.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.3.b.6.I07.D02,Write grant proposals.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.4.a.5.I09.D05,Assist students with special educational needs.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.4.b.3.I04.D08,Train staff members.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.4.a.2.I07.D02,Collaborate with other agencies and institutions to coordinate educational matters.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.A.2.a.1.I04.D01,Evaluate performance of educational staff.
