code,Profession,Task ID,Count,Task
15-2011.00,Actuaries,3511,1,Provide expertise to help financial institutions manage risks and maximize returns associated with investment products or credit offerings.
15-2011.00,Actuaries,3512,1,Determine equitable basis for distributing surplus earnings under participating insurance and annuity contracts in mutual companies.
15-2011.00,Actuaries,3513,1,Explain changes in contract provisions to customers.
29-1291.00,Acupuncturists,17356,1,"Formulate herbal preparations to treat conditions considering herbal properties, such as taste, toxicity, effects of preparation, contraindications, and incompatibilities."
29-1291.00,Acupuncturists,17357,1,"Maintain and follow standard quality, safety, environmental, and infection control policies and procedures."
29-1291.00,Acupuncturists,17358,1,Maintain detailed and complete records of health care plans and prognoses.
29-1291.00,Acupuncturists,17359,1,"Dispense herbal formulas and inform patients of dosages and frequencies, treatment duration, possible side effects, and drug interactions."
29-1291.00,Acupuncturists,17360,1,"Consider Western medical procedures in health assessment, health care team communication, and care referrals."
29-1291.00,Acupuncturists,17361,1,"Adhere to local, state, and federal laws, regulations, and statutes."
29-1291.00,Acupuncturists,17362,1,"Treat patients using tools, such as needles, cups, ear balls, seeds, pellets, or nutritional supplements."
29-1291.00,Acupuncturists,17363,1,"Educate patients on topics, such as meditation, ergonomics, stretching, exercise, nutrition, the healing process, breathing, or relaxation techniques."
29-1291.00,Acupuncturists,17364,1,"Evaluate treatment outcomes and recommend new or altered treatments as necessary to further promote, restore, or maintain health."
29-1291.00,Acupuncturists,17365,1,Assess patients' general physical appearance to make diagnoses.
29-1291.00,Acupuncturists,17366,1,Collect medical histories and general health and lifestyle information from patients.
29-1291.00,Acupuncturists,17367,1,"Apply moxibustion directly or indirectly to patients using Chinese, non-scarring, stick, or pole moxa."
29-1291.00,Acupuncturists,17368,1,"Apply heat or cold therapy to patients using materials, such as heat pads, hydrocollator packs, warm compresses, cold compresses, heat lamps, or vapor coolants."
29-1291.00,Acupuncturists,17369,1,Analyze physical findings and medical histories to make diagnoses according to Oriental medicine traditions.
29-1291.00,Acupuncturists,17370,1,Develop individual treatment plans and strategies.
29-1291.00,Acupuncturists,17371,1,"Treat medical conditions, using techniques such as acupressure, shiatsu, or tuina."
29-1291.00,Acupuncturists,17372,1,Insert needles to provide acupuncture treatment.
29-1291.00,Acupuncturists,17373,1,"Identify correct anatomical and proportional point locations based on patients' anatomy and positions, contraindications, and precautions related to treatments, such as intradermal needles, moxibustion, electricity, guasha, or bleeding."
29-1141.01,Acute Care Nurses,18297,1,"Analyze the indications, contraindications, risk complications, and cost-benefit tradeoffs of therapeutic interventions."
29-1141.01,Acute Care Nurses,18298,1,Diagnose acute or chronic conditions that could result in rapid physiological deterioration or life-threatening instability.
29-1141.01,Acute Care Nurses,18299,1,"Distinguish between normal and abnormal developmental and age-related physiological and behavioral changes in acute, critical, and chronic illness."
29-1141.01,Acute Care Nurses,18300,1,"Manage patients' pain relief and sedation by providing pharmacologic and non-pharmacologic interventions, monitoring patients' responses, and changing care plans accordingly."
29-1141.01,Acute Care Nurses,18301,1,Interpret information obtained from electrocardiograms (EKGs) or radiographs (x-rays).
29-1141.01,Acute Care Nurses,18302,1,"Perform emergency medical procedures, such as basic cardiac life support (BLS), advanced cardiac life support (ACLS), and other condition-stabilizing interventions."
29-1141.01,Acute Care Nurses,18303,1,"Assess urgent and emergent health conditions, using both physiologically and technologically derived data."
29-1141.01,Acute Care Nurses,18304,1,"Adjust settings on patients' assistive devices, such as temporary pacemakers."
29-1141.01,Acute Care Nurses,18305,1,"Assess the impact of illnesses or injuries on patients' health, function, growth, development, nutrition, sleep, rest, quality of life, or family, social and educational relationships."
29-1141.01,Acute Care Nurses,18306,1,"Collaborate with members of multidisciplinary health care teams to plan, manage, or assess patient treatments."
29-1141.01,Acute Care Nurses,18307,1,Discuss illnesses and treatments with patients and family members.
29-1141.01,Acute Care Nurses,18308,1,"Document data related to patients' care, including assessment results, interventions, medications, patient responses, or treatment changes."
29-1141.01,Acute Care Nurses,18309,1,Treat wounds or superficial lacerations.
29-1141.01,Acute Care Nurses,18310,1,"Set up, operate, or monitor invasive equipment and devices, such as colostomy or tracheotomy equipment, mechanical ventilators, catheters, gastrointestinal tubes, and central lines."
29-1141.01,Acute Care Nurses,18310,1,"Set up, operate, or monitor invasive equipment and devices, such as colostomy or tracheotomy equipment, mechanical ventilators, catheters, gastrointestinal tubes, and central lines."
29-1141.01,Acute Care Nurses,18311,1,Obtain specimens or samples for laboratory work.
29-1141.01,Acute Care Nurses,18312,1,"Order, perform, or interpret the results of diagnostic tests and screening procedures based on assessment results, differential diagnoses, and knowledge about age, gender and health status of clients."
29-1141.01,Acute Care Nurses,18313,1,Participate in patients' care meetings and conferences.
29-1141.01,Acute Care Nurses,18314,1,"Prescribe medications and observe patients' reactions, modifying prescriptions as needed."
29-1141.01,Acute Care Nurses,18315,1,Refer patients for specialty consultations or treatments.
29-1141.01,Acute Care Nurses,18316,1,"Administer blood and blood product transfusions or intravenous infusions, monitoring patients for adverse reactions."
29-1141.01,Acute Care Nurses,18317,1,Assist patients in organizing their health care system activities.
29-1141.01,Acute Care Nurses,18318,1,Assess the needs of patients' family members or caregivers.
29-1141.01,Acute Care Nurses,18319,1,Collaborate with patients to plan for future health care needs or to coordinate transitions and referrals.
29-1141.01,Acute Care Nurses,18321,1,"Read current literature, talk with colleagues, and participate in professional organizations or conferences to keep abreast of developments in acute care."
29-1141.01,Acute Care Nurses,18322,1,Participate in the development of practice protocols.
29-1141.01,Acute Care Nurses,18323,1,"Perform administrative duties that facilitate admission, transfer, or discharge of patients."
25-2059.01,Adapted Physical Education Specialists,17000,1,Review adapted physical education programs or practices to ensure compliance with government or other regulations.
25-2059.01,Adapted Physical Education Specialists,17000,1,Review adapted physical education programs or practices to ensure compliance with government or other regulations.
25-2059.01,Adapted Physical Education Specialists,17001,1,"Request or order physical education equipment, following standard procedures."
25-2059.01,Adapted Physical Education Specialists,17002,1,"Write reports to summarize student performance, social growth, or physical development."
25-2059.01,Adapted Physical Education Specialists,17003,1,"Attend in-service training, workshops, or meetings to keep abreast of current practices or trends in adapted physical education."
25-2059.01,Adapted Physical Education Specialists,17004,1,Write or modify individualized education plans (IEPs) for students with intellectual or physical disabilities.
25-2059.01,Adapted Physical Education Specialists,17005,1,Provide students positive feedback to encourage them and help them develop an appreciation for physical education.
25-2059.01,Adapted Physical Education Specialists,17006,1,Provide individual or small groups of students with adapted physical education instruction that meets desired physical needs or goals.
25-2059.01,Adapted Physical Education Specialists,17007,1,Prepare lesson plans in accordance with individualized education plans (IEPs) and the functional abilities or needs of students.
25-2059.01,Adapted Physical Education Specialists,17008,1,"Maintain thorough student records to document attendance, participation, or progress, ensuring confidentiality of all records."
25-2059.01,Adapted Physical Education Specialists,17009,1,"Maintain inventory of instructional equipment, materials, or aids."
25-2059.01,Adapted Physical Education Specialists,17010,1,Evaluate the motor needs of individual students to determine their need for adapted physical education services.
25-2059.01,Adapted Physical Education Specialists,17011,1,"Establish and maintain standards of behavior to create safe, orderly, and effective environments for learning."
25-2059.01,Adapted Physical Education Specialists,17012,1,"Communicate behavioral observations and student progress reports to students, parents, teachers, or administrators."
25-2059.01,Adapted Physical Education Specialists,17012,1,"Communicate behavioral observations and student progress reports to students, parents, teachers, or administrators."
25-2059.01,Adapted Physical Education Specialists,17013,1,Assist in screening or placement of students in adapted physical education programs.
25-2059.01,Adapted Physical Education Specialists,17014,1,Assess students' physical progress or needs.
25-2059.01,Adapted Physical Education Specialists,17015,1,Advise education professionals of students' physical abilities or disabilities and the accommodations required to enhance their school performance.
25-2059.01,Adapted Physical Education Specialists,17016,1,Adapt instructional techniques to the age and skill levels of students.
25-2059.01,Adapted Physical Education Specialists,17017,1,"Provide adapted physical education services to students with intellectual disabilities, autism, traumatic brain injury, orthopedic impairments, or other disabling condition."
25-2059.01,Adapted Physical Education Specialists,17018,1,"Instruct students, using adapted physical education techniques, to improve physical fitness, gross motor skills, perceptual motor skills, or sports and game achievement."
25-2059.01,Adapted Physical Education Specialists,21186,1,Collaborate with other educational personnel to provide inclusive activities or programs for children with disabilities.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12597,1,"Examine and measure completed materials or products to verify conformance to specifications, using measuring devices such as tape measures, gauges, or calipers."
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12599,1,Monitor machine operations to detect malfunctions and report or resolve problems.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12599,1,Monitor machine operations to detect malfunctions and report or resolve problems.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12600,1,Read work orders and communicate with coworkers to determine machine and equipment settings and adjustments and supply and product specifications.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12600,1,Read work orders and communicate with coworkers to determine machine and equipment settings and adjustments and supply and product specifications.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12600,1,Read work orders and communicate with coworkers to determine machine and equipment settings and adjustments and supply and product specifications.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12601,1,"Fill machines with glue, cement, or adhesives."
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12602,1,"Mount or load material such as paper, plastic, wood, or rubber in feeding mechanisms of cementing or gluing machines."
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12602,1,"Mount or load material such as paper, plastic, wood, or rubber in feeding mechanisms of cementing or gluing machines."
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12603,1,"Maintain production records such as quantities, dimensions, and thicknesses of materials processed."
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12604,1,"Start machines, and turn valves or move controls to feed, admit, apply, or transfer materials and adhesives, and to adjust temperature, pressure, and time settings."
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12604,1,"Start machines, and turn valves or move controls to feed, admit, apply, or transfer materials and adhesives, and to adjust temperature, pressure, and time settings."
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12605,1,Perform test production runs and make adjustments as necessary to ensure that completed products meet standards and specifications.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12606,1,Remove jammed materials from machines and readjust components as necessary to resume normal operations.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12607,1,Align and position materials being joined to ensure accurate application of adhesive or heat sealing.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12608,1,"Observe gauges, meters, and control panels to obtain information about equipment temperatures and pressures, or the speed of feeders or conveyors."
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12609,1,"Remove and stack completed materials or products, and restock materials to be joined."
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12609,1,"Remove and stack completed materials or products, and restock materials to be joined."
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12610,1,"Clean and maintain gluing and cementing machines, using solutions, lubricants, brushes, and scrapers."
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12610,1,"Clean and maintain gluing and cementing machines, using solutions, lubricants, brushes, and scrapers."
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12611,1,"Transport materials, supplies, and finished products between storage and work areas, using forklifts."
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12611,1,"Transport materials, supplies, and finished products between storage and work areas, using forklifts."
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12612,1,Measure and mix ingredients to prepare glue.
51-9191.00,Adhesive Bonding Machine Operators and Tenders,12612,1,Measure and mix ingredients to prepare glue.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",21181,1,Schedule hearings.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7617,1,Prepare written opinions and decisions.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7618,1,"Review and evaluate data on documents, such as claim applications, birth or death certificates, or physician or employer records."
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7618,1,"Review and evaluate data on documents, such as claim applications, birth or death certificates, or physician or employer records."
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7619,1,"Research and analyze laws, regulations, policies, and precedent decisions to prepare for hearings and to determine conclusions."
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7619,1,"Research and analyze laws, regulations, policies, and precedent decisions to prepare for hearings and to determine conclusions."
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7619,1,"Research and analyze laws, regulations, policies, and precedent decisions to prepare for hearings and to determine conclusions."
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7620,1,Confer with individuals or organizations involved in cases to obtain relevant information.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7621,1,"Recommend the acceptance or rejection of claims or compromise settlements according to laws, regulations, policies, and precedent decisions."
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7622,1,Explain to claimants how they can appeal rulings that go against them.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7623,1,Monitor and direct the activities of trials and hearings to ensure that they are conducted fairly and that courts administer justice while safeguarding the legal rights of all involved parties.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7624,1,Authorize payment of valid claims and determine method of payment.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7624,1,Authorize payment of valid claims and determine method of payment.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7625,1,"Conduct hearings to review and decide claims regarding issues, such as social program eligibility, environmental protection, or enforcement of health and safety regulations."
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7626,1,"Rule on exceptions, motions, and admissibility of evidence."
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7627,1,"Determine existence and amount of liability according to current laws, administrative and judicial precedents, and available evidence."
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7628,1,Issue subpoenas and administer oaths in preparation for formal hearings.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7628,1,Issue subpoenas and administer oaths in preparation for formal hearings.
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",7629,1,Conduct studies of appeals procedures in field agencies to ensure adherence to legal requirements and to facilitate determination of cases.
11-3012.00,Administrative Services Managers,19,1,"Direct or coordinate the supportive services department of a business, agency, or organization."
11-3012.00,Administrative Services Managers,20,1,Set goals and deadlines for the department.
11-3012.00,Administrative Services Managers,21,1,Prepare and review operational reports and schedules to ensure accuracy and efficiency.
11-3012.00,Administrative Services Managers,21262,1,"Communicate with and provide guidance for external vendors and service providers to ensure the organization, department, or work unit's business needs are met."
11-3012.00,Administrative Services Managers,21263,1,Develop operational standards and procedures for the work unit or department.
11-3012.00,Administrative Services Managers,21264,1,Establish work procedures or schedules to organize the daily work of administrative staff.
11-3012.00,Administrative Services Managers,21264,1,Establish work procedures or schedules to organize the daily work of administrative staff.
11-3012.00,Administrative Services Managers,21265,1,Learn to operate new office technologies as they are developed and implemented.
11-3012.00,Administrative Services Managers,21266,1,"Manage paper or electronic filing systems by recording information, updating paperwork, or maintaining documents, such as attendance records or correspondence."
11-3012.00,Administrative Services Managers,21266,1,"Manage paper or electronic filing systems by recording information, updating paperwork, or maintaining documents, such as attendance records or correspondence."
11-3012.00,Administrative Services Managers,21267,1,"Meet with other departmental leaders to establish organizational goals, strategic plans, and objectives, as well as make decisions about personnel, resources, and space or equipment needs."
11-3012.00,Administrative Services Managers,21268,1,"Oversee payroll functions, such as maintaining timekeeping information and processing and submitting payroll."
11-3012.00,Administrative Services Managers,21269,1,"Read through contracts, regulations, and procedural guidelines to ensure comprehension and compliance."
11-3012.00,Administrative Services Managers,21269,1,"Read through contracts, regulations, and procedural guidelines to ensure comprehension and compliance."
11-3012.00,Administrative Services Managers,21270,1,Represent work unit at meetings or conferences and serve as liaison for requests or complaints.
11-3012.00,Administrative Services Managers,21271,1,Supervise administrative staff and provide training and orientation to new staff.
11-3012.00,Administrative Services Managers,22,1,"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records."
11-3012.00,Administrative Services Managers,22,1,"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records."
11-3012.00,Administrative Services Managers,23,1,"Acquire, distribute and store supplies."
11-3012.00,Administrative Services Managers,23,1,"Acquire, distribute and store supplies."
11-3012.00,Administrative Services Managers,24,1,"Plan, administer, and control budgets for contracts, equipment, and supplies."
11-3012.00,Administrative Services Managers,26,1,Hire and terminate clerical and administrative personnel.
11-3012.00,Administrative Services Managers,30,1,Conduct classes to teach procedures to staff.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6824,1,"Adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6825,1,Observe and evaluate students' work to determine progress and make suggestions for improvement.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6825,1,Observe and evaluate students' work to determine progress and make suggestions for improvement.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6826,1,"Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6827,1,"Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6828,1,Maintain accurate and complete student records as required by laws or administrative policies.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6829,1,Prepare materials and classrooms for class activities.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6830,1,"Establish clear objectives for all lessons, units, and projects and communicate those objectives to students."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6832,1,Prepare students for further education by encouraging them to explore learning opportunities and to persevere with challenging tasks.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6833,1,Establish and enforce rules for behavior and procedures for maintaining order among the students for whom they are responsible.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6834,1,"Provide information, guidance, and preparation for the General Equivalency Diploma (GED) examination."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6835,1,Assign and grade class work and homework.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6836,1,"Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6837,1,"Register, orient, and assess new students according to standards and procedures."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6837,1,"Register, orient, and assess new students according to standards and procedures."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6838,1,Prepare and implement remedial programs for students requiring extra help.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6839,1,"Prepare and administer written, oral, and performance tests and issue grades in accordance with performance."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6840,1,"Use computers, audio-visual aids, and other equipment and materials to supplement presentations."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6841,1,"Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6842,1,Guide and counsel students with adjustment or academic problems or special academic interests.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6843,1,Enforce administration policies and rules governing students.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6844,1,"Review instructional content, methods, and student evaluations to assess strengths and weaknesses, and to develop recommendations for course revision, development, or elimination."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6845,1,"Confer with other staff members to plan and schedule lessons that promote learning, following approved curricula."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6846,1,Meet with other professionals to discuss individual students' needs and progress.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6847,1,"Attend professional meetings, conferences, and workshops to maintain and improve professional competence."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6848,1,Prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6849,1,Prepare reports on students and activities as required by administration.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6850,1,"Select, order, and issue books, materials, and supplies for courses or projects."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6851,1,Collaborate with other teachers and professionals in the development of instructional programs.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6852,1,"Participate in publicity planning, community awareness efforts, and student recruitment."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6853,1,"Attend staff meetings and serve on committees, as required."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6854,1,"Plan and supervise class projects, field trips, visits by guest speakers, contests, or other experiential activities, and guide students in learning from those activities."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6855,1,"Advise students on internships, prospective employers, and job placement services."
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6856,1,Select and schedule class times to ensure maximum attendance.
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6857,1,Write grants to obtain program funding.
